;Genres
7818;Action
2105;Action & Adventure
3960;Adventure
5844;Arcade
4193;Art & Design
7183;Auto & Vehicles
99;Beauty
2172;Board
5698;Books & Reference
2155;Brain Games
223;Business
9601;Card
9599;Casino
9413;Casual
6420;Comics
10109;Communication
7629;Creativity
565;Dating
9222;Education
7348;Educational
882;Entertainment
1027;Events
1081;Finance
9819;Food & Drink
4138;Health & Fitness
1488;House & Home
1528;Libraries & Demo
4362;Lifestyle
3824;Maps & Navigation
2538;Medical
5679;Music
2142;Music & Audio
2208;Music & Video
9308;News & Magazines
3577;Parenting
4743;Personalization
2868;Photography
2172;Pretend Play
3572;Productivity
10785;Puzzle
2105;Racing
4560;Role Playing
9466;Shopping
6418;Simulation
2575;Social
4091;Sports
7751;Strategy
7559;Tools
6175;Travel & Local
7824;Trivia
6334;Video Players & Editors
3652;Weather
1889;Word
